     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	begin  	call   	do    	else   	end   	false  	id    	if    integer 	not   	num   	or    	proc   	real   record  	then   	true   	while  	#    	B    	B1    	B2    	C    	D    	E    	E1    	E2    	EL    	L    	M    	M0    	N    	N1    	N2    	P    	P'    	R    	S    	S0    	S1    	S2    	S3    	T    	X    
0    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s553   	s513   	--    	--    	--    	--    	s503   	s545   	--    	--    	--    	--    	s2    	--    	--    	--    	--    	s529   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	507   	--    	--    	--    	--    	--    	1    	--    	--    	500   	--    	511   	512   	--    	--    	--    	
359   	r15   	--    	--    	s341   	r15   	--    	--    	--    	r15   	r15   	--    	r15   	r15   	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
360   	r15   	--    	--    	s341   	r15   	--    	--    	--    	r15   	r15   	--    	r15   	r15   	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
361   	--    	--    	r26   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s237   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r26   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
362   	s301   	--    	--    	--    	s339   	--    	--    	--    	s298   	s299   	--    	s300   	s302   	s303   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	363   	--    	--    	--    	--    	--    	--    	--    	
363   	--    	s369   	--    	--    	--    	--    	s372   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s377   	--    	--    	--    	s381   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	364   	387   	376   	--    	382   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
364   	--    	--    	--    	--    	s365   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r31   	--    	--    	r31   	--    	--    	--    	--    	--    	--    	--    	--    	r31   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
365   	--    	s369   	--    	--    	--    	--    	s372   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s377   	--    	--    	--    	s381   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	366   	376   	--    	382   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
366   	--    	--    	--    	s367   	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r14   	--    	--    	r14   	--    	--    	--    	--    	--    	--    	--    	--    	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
367   	--    	s369   	--    	--    	--    	--    	s372   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s377   	--    	--    	--    	s381   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	368   	--    	382   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
368   	--    	--    	--    	r16   	r16   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r16   	--    	--    	r16   	--    	--    	--    	--    	--    	--    	--    	--    	r16   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
369   	--    	s27   	--    	--    	--    	--    	s32   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s36   	--    	--    	--    	s47   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	370   	30    	31    	--    	48    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
370   	--    	--    	s371   	--    	s23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
371   	--    	--    	--    	r18   	r18   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r18   	--    	--    	r18   	--    	--    	--    	--    	--    	--    	--    	--    	r18   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
372   	--    	s369   	--    	--    	--    	--    	s372   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s377   	--    	--    	--    	s381   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	373   	386   	376   	--    	382   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
373   	--    	--    	--    	r19   	s374   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r19   	--    	--    	r19   	--    	--    	--    	--    	--    	--    	--    	--    	r19   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
374   	--    	s369   	--    	--    	--    	--    	s372   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s377   	--    	--    	--    	s381   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	375   	376   	--    	382   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
375   	--    	--    	--    	s367   	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r14   	--    	--    	r14   	--    	--    	--    	--    	--    	--    	--    	--    	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
376   	--    	--    	--    	r17   	r17   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r17   	--    	--    	r17   	--    	--    	--    	--    	--    	--    	--    	--    	r17   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
377   	--    	--    	--    	r20   	r20   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s378   	--    	r20   	--    	--    	r20   	--    	--    	--    	--    	--    	--    	--    	--    	r20   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
378   	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	379   	52    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
379   	--    	--    	--    	--    	s40   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s380   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
380   	--    	--    	--    	r23   	r23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r23   	--    	r23   	--    	--    	r23   	--    	--    	--    	--    	--    	--    	--    	--    	r23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
381   	--    	--    	--    	r21   	r21   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r21   	--    	--    	r21   	--    	--    	--    	--    	--    	--    	--    	--    	r21   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
382   	--    	--    	--    	r22   	r22   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s383   	--    	r22   	--    	--    	r22   	--    	--    	--    	--    	--    	--    	--    	--    	r22   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
383   	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	384   	52    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
384   	--    	--    	--    	--    	s40   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s385   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
385   	--    	--    	--    	r24   	r24   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r24   	--    	r24   	--    	--    	r24   	--    	--    	--    	--    	--    	--    	--    	--    	r24   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
386   	--    	--    	--    	s367   	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r15   	--    	--    	r15   	--    	--    	--    	--    	--    	--    	--    	--    	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
387   	--    	--    	--    	s367   	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r15   	--    	--    	r15   	--    	--    	--    	--    	--    	--    	--    	--    	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
388   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r32   	--    	--    	r32   	--    	--    	--    	--    	--    	--    	--    	--    	r32   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
389   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r33   	--    	--    	r33   	--    	--    	--    	--    	--    	--    	--    	--    	r33   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
390   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s222   	--    	--    	r26   	--    	--    	--    	--    	--    	--    	--    	--    	r26   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
391   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s222   	--    	--    	r26   	--    	--    	--    	--    	--    	--    	--    	--    	r26   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
392   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s197   	s163   	--    	--    	--    	--    	s153   	s189   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s179   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	157   	--    	--    	--    	--    	--    	--    	--    	--    	188   	--    	161   	162   	393   	--    	--    	
